Tissue,Cell Type,Cell Count,Tissue Composition,Disease,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,normal,186617,0.01%,normal,RP11-701H24.9,2.13204994,0.274304536,1369
brain,normal,186617,0.01%,normal,LINGO3,1.829288843,0.159803899,1228
brain,normal,186617,0.11%,normal,PDE4DIP,1.92571703,0.19627189,12226
brain,normal,186617,0.01%,normal,AC159540.1,1.780799198,0.141465694,1622
brain,normal,186617,0.02%,normal,RP11-289H16.1,1.778585056,0.140628332,1896
brain,normal,186617,0.00%,normal,RP11-219A15.1,1.887023809,0.181638575,521
brain,normal,186617,0.00%,normal,LINC01609,2.068660035,0.25033123,419
brain,normal,186617,0.04%,normal,PHYHIP,1.943020374,0.202815808,4069
brain,normal,186617,0.02%,normal,RP11-745L13.2,1.816512139,0.154971902,1720
brain,normal,550,0.00%,normal,SLC26A3,1.877535105,0.17805006,16
brain,normal,550,0.00%,normal,RASGEF1B,2.423597209,0.384564236,60
brain,normal,550,,normal,RP11-701H24.9,,,
brain,normal,550,0.00%,normal,LINGO3,1.477200031,0.026648109,1
brain,normal,550,0.00%,normal,PDE4DIP,1.975689984,0.215171065,149
brain,normal,550,0.00%,normal,AC159540.1,1.946185042,0.204012648,41
brain,normal,550,0.00%,normal,RP11-289H16.1,1.879629135,0.178841998,13
brain,normal,550,0.00%,normal,RP11-219A15.1,1.62359786,0.082014022,4
brain,normal,550,0.00%,normal,LINC01609,1.85714221,0.170337711,1
brain,normal,550,0.00%,normal,PHYHIP,1.638541579,0.087665559,1
brain,normal,550,0.00%,normal,RP11-745L13.2,1.429019332,0.008426743,1
brain,normal,97353,0.00%,normal,SLC26A3,1.618228922,0.079983554,399
brain,normal,97353,0.09%,normal,RASGEF1B,1.917798016,0.193277013,10124
brain,normal,97353,,normal,RP11-701H24.9,,,
brain,normal,97353,0.00%,normal,LINGO3,1.755184555,0.131778541,5
brain,normal,97353,0.01%,normal,PDE4DIP,1.630271516,0.084537919,1080
brain,normal,97353,0.00%,normal,AC159540.1,1.598776051,0.07262671,173
brain,normal,97353,,normal,RP11-289H16.1,,,
brain,normal,97353,,normal,RP11-219A15.1,,,
brain,normal,97353,0.00%,normal,LINC01609,1.592123216,0.070110687,62
brain,normal,97353,0.00%,normal,PHYHIP,1.61862956,0.080135071,73
brain,normal,97353,0.00%,normal,RP11-745L13.2,1.640666455,0.088469161,173
brain,normal,5655,0.00%,normal,SLC26A3,1.828106721,0.159356835,48
brain,normal,5655,0.00%,normal,RASGEF1B,1.952171961,0.206276829,192
brain,normal,5655,,normal,RP11-701H24.9,,,
brain,normal,5655,0.00%,normal,LINGO3,1.939270973,0.201397829,12
brain,normal,5655,0.04%,normal,PDE4DIP,2.461725649,0.398983958,4473
brain,normal,5655,,normal,AC159540.1,,,
brain,normal,5655,,normal,RP11-289H16.1,,,
brain,normal,5655,,normal,RP11-219A15.1,,,
brain,normal,5655,0.00%,normal,LINC01609,1.70778203,0.113851472,1
brain,normal,5655,0.00%,normal,PHYHIP,1.835405622,0.162117192,147
brain,normal,5655,,normal,RP11-745L13.2,,,
brain,normal,4654,0.00%,normal,SLC26A3,2.054407229,0.244940989,174
brain,normal,4654,0.01%,normal,RASGEF1B,2.223552086,0.308909556,1370
brain,normal,4654,,normal,RP11-701H24.9,,,
brain,normal,4654,0.00%,normal,LINGO3,1.953278224,0.206695205,12
brain,normal,4654,0.01%,normal,PDE4DIP,1.996420755,0.223011195,713
brain,normal,4654,0.00%,normal,AC159540.1,1.855751182,0.16981164,424
brain,normal,4654,0.00%,normal,RP11-289H16.1,1.891259201,0.18324035,238
brain,normal,4654,0.00%,normal,RP11-219A15.1,1.694826126,0.108951703,14
brain,normal,4654,0.00%,normal,LINC01609,2.015991388,0.230412576,43
brain,normal,4654,0.00%,normal,PHYHIP,1.769916014,0.137349803,11
brain,normal,4654,0.00%,normal,RP11-745L13.2,1.826580048,0.158779465,26
brain,normal,5781,0.00%,normal,SLC26A3,1.930263846,0.197991441,420
brain,normal,5781,0.00%,normal,RASGEF1B,1.891557073,0.183353001,332
brain,normal,5781,0.00%,normal,RP11-701H24.9,2.005786858,0.226553344,202
brain,normal,5781,0.00%,normal,LINGO3,1.760308873,0.133716497,11
brain,normal,5781,0.00%,normal,PDE4DIP,1.634123318,0.085994625,191
brain,normal,5781,0.00%,normal,AC159540.1,1.594625473,0.071057011,48
brain,normal,5781,0.00%,normal,RP11-289H16.1,1.629673243,0.08431166,4
brain,normal,5781,,normal,RP11-219A15.1,,,
brain,normal,5781,0.00%,normal,LINC01609,1.525202318,0.044802002,11
brain,normal,5781,0.00%,normal,PHYHIP,1.791353457,0.145457189,214
brain,normal,5781,0.00%,normal,RP11-745L13.2,1.635512882,0.086520141,9
brain,normal,32510,0.02%,normal,SLC26A3,2.173720856,0.290063979,2499
brain,normal,32510,0.03%,normal,RASGEF1B,2.289183108,0.333730426,3255
brain,normal,32510,0.02%,normal,RP11-701H24.9,2.06394785,0.248549138,1882
brain,normal,32510,0.00%,normal,LINGO3,1.840270193,0.163956915,38
brain,normal,32510,0.01%,normal,PDE4DIP,1.863573725,0.172770033,1187
brain,normal,32510,0.00%,normal,AC159540.1,1.904397489,0.188209094,293
brain,normal,32510,0.00%,normal,RP11-289H16.1,1.940433032,0.201837306,146
brain,normal,32510,0.00%,normal,RP11-219A15.1,1.859230558,0.171127499,133
brain,normal,32510,0.00%,normal,LINC01609,2.087648968,0.257512618,86
brain,normal,32510,0.01%,normal,PHYHIP,2.050663922,0.243525314,1390
brain,normal,32510,0.00%,normal,RP11-745L13.2,2.042667293,0.240501085,279
brain,Alzheimer disease,2087,0.01%,Alzheimer disease,SLC26A3,2.720633289,0.49689974,1276
brain,Alzheimer disease,2087,0.02%,Alzheimer disease,RASGEF1B,3.34064624,0.731381245,1669
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,RP11-701H24.9,1.973166196,0.214216599,262
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,LINGO3,1.782948494,0.142278532,3
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,PDE4DIP,2.05082007,0.243584368,272
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,AC159540.1,1.994650065,0.222341542,150
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,RP11-289H16.1,2.087316046,0.257386711,151
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,RP11-219A15.1,1.916397226,0.192747251,116
brain,Alzheimer disease,2087,0.01%,Alzheimer disease,LINC01609,2.510081201,0.417271451,581
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,PHYHIP,2.111577566,0.266562128,190
brain,Alzheimer disease,2087,0.00%,Alzheimer disease,RP11-745L13.2,1.995305204,0.222589307,174
brain,normal,13989,0.01%,normal,SLC26A3,2.394245517,0.373463777,992
brain,normal,13989,0.01%,normal,RASGEF1B,2.604196848,0.452864866,1421
brain,normal,13989,0.00%,normal,RP11-701H24.9,1.970923873,0.213368579,257
brain,normal,13989,0.00%,normal,LINGO3,2.021586009,0.232528395,14
brain,normal,13989,0.00%,normal,PDE4DIP,1.89909513,0.186203805,315
brain,normal,13989,0.00%,normal,AC159540.1,1.968334401,0.212389271,207
brain,normal,13989,0.00%,normal,RP11-289H16.1,1.989553123,0.220413939,116
brain,normal,13989,0.00%,normal,RP11-219A15.1,1.854317075,0.169269278,126
brain,normal,13989,0.00%,normal,LINC01609,2.017576218,0.231011939,52
brain,normal,13989,0.00%,normal,PHYHIP,2.046806623,0.24206653,212
brain,normal,13989,0.00%,normal,RP11-745L13.2,2.135715447,0.275690787,202
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,SLC26A3,2.28416859,0.331833996,528
brain,Alzheimer disease,1174,0.01%,Alzheimer disease,RASGEF1B,2.579195403,0.443409618,787
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,RP11-701H24.9,1.880142477,0.179036137,173
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,LINGO3,1.782948494,0.142278532,3
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,PDE4DIP,1.955601338,0.207573779,121
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,AC159540.1,1.930319736,0.198012578,76
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,RP11-289H16.1,1.986288907,0.219179451,57
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,RP11-219A15.1,1.844358608,0.165503105,70
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,LINC01609,1.934750875,0.199688382,39
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,PHYHIP,1.900172694,0.186611326,85
brain,Alzheimer disease,1174,0.00%,Alzheimer disease,RP11-745L13.2,1.95277898,0.206506397,99
brain,normal,3806,0.00%,normal,SLC26A3,2.314475236,0.343295608,265
brain,normal,3806,0.00%,normal,RASGEF1B,2.240724105,0.315403809,337
brain,normal,3806,0.00%,normal,RP11-701H24.9,1.959152222,0.208916681,62
brain,normal,3806,,normal,LINGO3,,,
brain,normal,3806,0.00%,normal,PDE4DIP,1.848665284,0.167131838,203
brain,normal,3806,0.00%,normal,AC159540.1,1.791600813,0.145550736,57
brain,normal,3806,0.00%,normal,RP11-289H16.1,1.535072207,0.048534676,1
brain,normal,3806,0.00%,normal,RP11-219A15.1,1.737775762,0.125194743,47
brain,normal,3806,0.00%,normal,LINC01609,1.648642421,0.091485577,1
brain,normal,3806,0.00%,normal,PHYHIP,1.852682568,0.168651127,21
brain,normal,3806,0.00%,normal,RP11-745L13.2,1.412036419,0.002004008,1
brain,normal,463,0.00%,normal,SLC26A3,2.333710847,0.350570286,216
brain,normal,463,0.00%,normal,RASGEF1B,2.315915338,0.343840237,232
brain,normal,463,0.00%,normal,RP11-701H24.9,1.947883218,0.204654878,59
brain,normal,463,,normal,LINGO3,,,
brain,normal,463,0.00%,normal,PDE4DIP,1.772287369,0.138246621,7
brain,normal,463,,normal,AC159540.1,,,
brain,normal,463,0.00%,normal,RP11-289H16.1,1.535072207,0.048534676,1
brain,normal,463,0.00%,normal,RP11-219A15.1,1.599906445,0.073054212,1
brain,normal,463,0.00%,normal,LINC01609,1.648642421,0.091485577,1
brain,normal,463,0.00%,normal,PHYHIP,1.876185417,0.177539624,5
brain,normal,463,0.00%,normal,RP11-745L13.2,1.412036419,0.002004008,1
brain,normal,148,0.00%,normal,SLC26A3,2.229681521,0.311227636,49
brain,normal,148,0.00%,normal,RASGEF1B,2.356196345,0.359074034,49
brain,normal,148,0.00%,normal,RP11-701H24.9,2.180775325,0.292731895,3
brain,normal,148,,normal,LINGO3,,,
brain,normal,148,0.00%,normal,PDE4DIP,2.183826447,0.293885793,1
brain,normal,148,,normal,AC159540.1,,,
brain,normal,148,,normal,RP11-289H16.1,,,
brain,normal,148,,normal,RP11-219A15.1,,,
brain,normal,148,,normal,LINC01609,,,
brain,normal,148,0.00%,normal,PHYHIP,2.285197258,0.332223025,2
brain,normal,148,,normal,RP11-745L13.2,,,
brain,normal,3110,0.00%,normal,SLC26A3,2.127046911,0.27241245,287
brain,normal,3110,0.01%,normal,RASGEF1B,2.103135657,0.263369499,559
brain,normal,3110,0.00%,normal,RP11-701H24.9,2.202702874,0.301024633,453
brain,normal,3110,0.00%,normal,LINGO3,1.87199235,0.175953856,4
brain,normal,3110,0.00%,normal,PDE4DIP,1.903368453,0.187819924,71
brain,normal,3110,0.00%,normal,AC159540.1,1.651362419,0.092514248,7
brain,normal,3110,,normal,RP11-289H16.1,,,
brain,normal,3110,0.00%,normal,RP11-219A15.1,2.041249275,0.239964807,2
brain,normal,3110,,normal,LINC01609,,,
brain,normal,3110,0.00%,normal,PHYHIP,2.182260614,0.293293614,304
brain,normal,3110,0.00%,normal,RP11-745L13.2,1.75780983,0.132771389,5
brain,normal,1111,0.00%,normal,SLC26A3,2.520148109,0.421078636,17
brain,normal,1111,0.00%,normal,RASGEF1B,1.967161421,0.211945664,110
brain,normal,1111,0.00%,normal,RP11-701H24.9,2.054208074,0.244865671,7
brain,normal,1111,,normal,LINGO3,,,
brain,normal,1111,0.00%,normal,PDE4DIP,1.886944536,0.181608595,69
brain,normal,1111,0.00%,normal,AC159540.1,1.651362419,0.092514248,7
brain,normal,1111,,normal,RP11-289H16.1,,,
brain,normal,1111,0.00%,normal,RP11-219A15.1,2.041249275,0.239964807,2
brain,normal,1111,,normal,LINC01609,,,
brain,normal,1111,0.00%,normal,PHYHIP,2.011040856,0.228540343,17
brain,normal,1111,0.00%,normal,RP11-745L13.2,1.75780983,0.132771389,5
brain,normal,51767,0.02%,normal,SLC26A3,2.169119933,0.288323965,2525
brain,normal,51767,0.05%,normal,RASGEF1B,2.104773267,0.263988823,5347
brain,normal,51767,0.02%,normal,RP11-701H24.9,2.06394785,0.248549138,1882
brain,normal,51767,0.00%,normal,LINGO3,1.896056239,0.185054532,60
brain,normal,51767,0.05%,normal,PDE4DIP,2.047998102,0.242517133,5318
brain,normal,51767,0.00%,normal,AC159540.1,1.892305738,0.183636138,309
brain,normal,51767,0.00%,normal,RP11-289H16.1,1.940433032,0.201837306,146
brain,normal,51767,0.00%,normal,RP11-219A15.1,1.859230558,0.171127499,133
brain,normal,51767,0.00%,normal,LINC01609,2.082440782,0.255542944,87
brain,normal,51767,0.01%,normal,PHYHIP,2.028749302,0.235237467,1470
brain,normal,51767,0.00%,normal,RP11-745L13.2,2.004416671,0.226035156,306
brain,normal,19236,0.00%,normal,SLC26A3,1.726913452,0.121086747,26
brain,normal,19236,0.02%,normal,RASGEF1B,1.817844719,0.155475868,2092
brain,normal,19236,,normal,RP11-701H24.9,,,
brain,normal,19236,0.00%,normal,LINGO3,1.992413954,0.221495871,22
brain,normal,19236,0.04%,normal,PDE4DIP,2.100990415,0.262558194,4131
brain,normal,19236,0.00%,normal,AC159540.1,1.670874953,0.099893655,16
brain,normal,19236,,normal,RP11-289H16.1,,,
brain,normal,19236,,normal,RP11-219A15.1,,,
brain,normal,19236,0.00%,normal,LINC01609,1.63454318,0.086153412,1
brain,normal,19236,0.00%,normal,PHYHIP,1.647983742,0.091236472,80
brain,normal,19236,0.00%,normal,RP11-745L13.2,1.609160953,0.076554156,27
brain,normal,273773,0.02%,normal,SLC26A3,1.764559659,0.135324094,2068
brain,normal,273773,0.69%,normal,RASGEF1B,2.240241295,0.315221216,76483
brain,normal,273773,0.00%,normal,RP11-701H24.9,1.469499588,0.023735893,6
brain,normal,273773,0.00%,normal,LINGO3,1.631982943,0.085185161,123
brain,normal,273773,0.08%,normal,PDE4DIP,2.056929977,0.245895062,9180
brain,normal,273773,0.02%,normal,AC159540.1,1.721635511,0.119090693,1879
brain,normal,273773,0.01%,normal,RP11-289H16.1,1.953543303,0.206795454,935
brain,normal,273773,0.00%,normal,RP11-219A15.1,1.638091694,0.087495418,22
brain,normal,273773,0.00%,normal,LINC01609,1.771883892,0.138094031,405
brain,normal,273773,0.01%,normal,PHYHIP,1.643207662,0.089430216,1298
brain,normal,273773,0.01%,normal,RP11-745L13.2,1.6945174,0.108834947,1040
brain,normal,54,,normal,SLC26A3,,,
brain,normal,54,,normal,RASGEF1B,,,
brain,normal,54,,normal,RP11-701H24.9,,,
brain,normal,54,,normal,LINGO3,,,
brain,normal,54,,normal,PDE4DIP,,,
brain,normal,54,,normal,AC159540.1,,,
brain,normal,54,,normal,RP11-289H16.1,,,
brain,normal,54,,normal,RP11-219A15.1,,,
brain,normal,54,,normal,LINC01609,,,
brain,normal,54,,normal,PHYHIP,,,
brain,normal,54,,normal,RP11-745L13.2,,,
brain,normal,196414,0.09%,normal,SLC26A3,2.191499294,0.296787573,9656
brain,normal,196414,0.18%,normal,RASGEF1B,2.26905439,0.326117985,19709
brain,normal,196414,0.01%,normal,RP11-701H24.9,2.134318007,0.275162292,1501
brain,normal,196414,0.01%,normal,LINGO3,1.82927609,0.159799076,1231
brain,normal,196414,0.11%,normal,PDE4DIP,1.925978453,0.196370757,12291
brain,normal,196414,0.01%,normal,AC159540.1,1.781701668,0.141806997,1627
brain,normal,196414,0.02%,normal,RP11-289H16.1,1.778585056,0.140628332,1896
brain,normal,196414,0.00%,normal,RP11-219A15.1,1.887023809,0.181638575,521
brain,normal,196414,0.00%,normal,LINC01609,2.066058263,0.249347271,422
brain,normal,196414,0.04%,normal,PHYHIP,1.950720496,0.205727902,4168
brain,normal,196414,0.02%,normal,RP11-745L13.2,1.815517612,0.154595784,1741
brain,normal,201075,0.09%,normal,SLC26A3,2.192019776,0.296984413,9805
brain,normal,201075,0.18%,normal,RASGEF1B,2.264722506,0.324479718,20278
brain,normal,201075,0.02%,normal,RP11-701H24.9,2.162848399,0.285952146,1701
brain,normal,201075,0.01%,normal,LINGO3,1.830065701,0.160097698,1238
brain,normal,201075,0.11%,normal,PDE4DIP,1.924888545,0.195958567,12449
brain,normal,201075,0.02%,normal,AC159540.1,1.78478939,0.142974737,1693
brain,normal,201075,0.02%,normal,RP11-289H16.1,1.780258443,0.141261187,1905
brain,normal,201075,0.00%,normal,RP11-219A15.1,1.888802483,0.182311248,529
brain,normal,201075,0.00%,normal,LINC01609,2.066172377,0.249390427,428
brain,normal,201075,0.04%,normal,PHYHIP,1.959804787,0.209163473,4334
brain,normal,201075,0.02%,normal,RP11-745L13.2,1.816456723,0.154950945,1751
brain,normal,908,0.00%,normal,SLC26A3,2.315613374,0.343726038,105
brain,normal,908,0.00%,normal,RASGEF1B,2.315899217,0.34383414,166
brain,normal,908,0.00%,normal,RP11-701H24.9,2.388637137,0.371342754,188
brain,normal,908,0.00%,normal,LINGO3,2.039958954,0.239476823,3
brain,normal,908,0.00%,normal,PDE4DIP,1.981539408,0.217383248,12
brain,normal,908,0.00%,normal,AC159540.1,2.205137956,0.301945552,19
brain,normal,908,,normal,RP11-289H16.1,,,
brain,normal,908,0.00%,normal,RP11-219A15.1,2.004635811,0.226118032,8
brain,normal,908,0.00%,normal,LINC01609,2.438884497,0.390345706,1
brain,normal,908,0.00%,normal,PHYHIP,2.299076288,0.337471909,110
brain,normal,908,0.00%,normal,RP11-745L13.2,2.010079193,0.228176654,5
brain,Alzheimer disease,113,0.00%,Alzheimer disease,SLC26A3,2.130401421,0.273681086,20
brain,Alzheimer disease,113,0.00%,Alzheimer disease,RASGEF1B,2.210647583,0.304029227,35
brain,Alzheimer disease,113,0.00%,Alzheimer disease,RP11-701H24.9,1.94707602,0.204349605,27
brain,Alzheimer disease,113,,Alzheimer disease,LINGO3,,,
brain,Alzheimer disease,113,0.00%,Alzheimer disease,PDE4DIP,1.76898876,0.136999127,19
brain,Alzheimer disease,113,0.00%,Alzheimer disease,AC159540.1,2.009996875,0.228145522,29
brain,Alzheimer disease,113,0.00%,Alzheimer disease,RP11-289H16.1,1.610945463,0.077229037,2
brain,Alzheimer disease,113,0.00%,Alzheimer disease,RP11-219A15.1,1.870071793,0.175227525,5
brain,Alzheimer disease,113,,Alzheimer disease,LINC01609,,,
brain,Alzheimer disease,113,0.00%,Alzheimer disease,PHYHIP,1.785471916,0.14323286,3
brain,Alzheimer disease,113,0.00%,Alzheimer disease,RP11-745L13.2,2.040663825,0.239743397,9
brain,normal,50,0.00%,normal,SLC26A3,2.295077642,0.335959669,6
brain,normal,50,0.00%,normal,RASGEF1B,2.596988466,0.450138742,9
brain,normal,50,0.00%,normal,RP11-701H24.9,2.26225196,0.323545387,9
brain,normal,50,,normal,LINGO3,,,
brain,normal,50,,normal,PDE4DIP,,,
brain,normal,50,,normal,AC159540.1,,,
brain,normal,50,,normal,RP11-289H16.1,,,
brain,normal,50,,normal,RP11-219A15.1,,,
brain,normal,50,,normal,LINC01609,,,
brain,normal,50,0.00%,normal,PHYHIP,2.3705012,0.364483959,9
brain,normal,50,,normal,RP11-745L13.2,,,
brain,normal,24,,normal,SLC26A3,,,
brain,normal,24,0.00%,normal,RASGEF1B,2.671313524,0.478247593,1
brain,normal,24,,normal,RP11-701H24.9,,,
brain,normal,24,0.00%,normal,LINGO3,2.802139997,0.527724605,1
brain,normal,24,0.00%,normal,PDE4DIP,2.600071192,0.451304592,2
brain,normal,24,,normal,AC159540.1,,,
brain,normal,24,,normal,RP11-289H16.1,,,
brain,normal,24,,normal,RP11-219A15.1,,,
brain,normal,24,,normal,LINC01609,,,
brain,normal,24,0.00%,normal,PHYHIP,2.944954236,0.581735247,3
brain,normal,24,,normal,RP11-745L13.2,,,
brain,normal,8879,0.01%,normal,SLC26A3,1.955255658,0.207443047,942
brain,normal,8879,0.01%,normal,RASGEF1B,2.023540016,0.233267377,1286
brain,normal,8879,0.01%,normal,RP11-701H24.9,1.865832849,0.173624407,1038
brain,normal,8879,0.00%,normal,LINGO3,1.777710438,0.140297562,3
brain,normal,8879,0.00%,normal,PDE4DIP,1.891026729,0.183152432,238
brain,normal,8879,0.00%,normal,AC159540.1,1.897452593,0.185582617,64
brain,normal,8879,0.00%,normal,RP11-289H16.1,1.944541931,0.203391243,33
brain,normal,8879,0.00%,normal,RP11-219A15.1,1.844356537,0.165502321,33
brain,normal,8879,0.00%,normal,LINC01609,2.06564935,0.249192625,12
brain,normal,8879,0.00%,normal,PHYHIP,1.843987587,0.165362789,447
brain,normal,8879,0.00%,normal,RP11-745L13.2,1.855680281,0.169784827,62
brain,normal,8310,0.01%,normal,SLC26A3,1.899085093,0.186200009,767
brain,normal,8310,0.01%,normal,RASGEF1B,1.993665857,0.221969326,1084
brain,normal,8310,0.01%,normal,RP11-701H24.9,1.858275489,0.170766303,973
brain,normal,8310,0.00%,normal,LINGO3,1.777710438,0.140297562,3
brain,normal,8310,0.00%,normal,PDE4DIP,1.886012173,0.181255986,209
brain,normal,8310,0.00%,normal,AC159540.1,1.907289831,0.189302943,41
brain,normal,8310,0.00%,normal,RP11-289H16.1,1.954804451,0.207272406,31
brain,normal,8310,0.00%,normal,RP11-219A15.1,1.826020339,0.15856779,29
brain,normal,8310,0.00%,normal,LINC01609,2.06564935,0.249192625,12
brain,normal,8310,0.00%,normal,PHYHIP,1.841820603,0.164543262,445
brain,normal,8310,0.00%,normal,RP11-745L13.2,1.875063914,0.177115485,53
brain,Alzheimer disease,428,0.00%,Alzheimer disease,SLC26A3,2.063931894,0.248543103,138
brain,Alzheimer disease,428,0.00%,Alzheimer disease,RASGEF1B,2.285413834,0.332304932,227
brain,Alzheimer disease,428,0.00%,Alzheimer disease,RP11-701H24.9,1.928476016,0.197315305,96
brain,Alzheimer disease,428,,Alzheimer disease,LINGO3,,,
brain,Alzheimer disease,428,0.00%,Alzheimer disease,PDE4DIP,2.077766418,0.253775155,108
brain,Alzheimer disease,428,0.00%,Alzheimer disease,AC159540.1,1.797797339,0.147894188,28
brain,Alzheimer disease,428,0.00%,Alzheimer disease,RP11-289H16.1,1.900862455,0.186872186,16
brain,Alzheimer disease,428,0.00%,Alzheimer disease,RP11-219A15.1,1.76271148,0.134625134,42
brain,Alzheimer disease,428,0.00%,Alzheimer disease,LINC01609,1.902192029,0.187375015,11
brain,Alzheimer disease,428,0.00%,Alzheimer disease,PHYHIP,1.794497172,0.146646104,30
brain,Alzheimer disease,428,0.00%,Alzheimer disease,RP11-745L13.2,1.677769147,0.102500957,13
brain,normal,123999,0.00%,normal,SLC26A3,1.724194594,0.120058507,426
brain,normal,123999,0.03%,normal,RASGEF1B,1.813080427,0.15367407,3243
brain,normal,123999,0.00%,normal,RP11-701H24.9,1.509703279,0.03894045,2
brain,normal,123999,0.00%,normal,LINGO3,1.59205727,0.070085747,46
brain,normal,123999,0.01%,normal,PDE4DIP,1.603857015,0.07454827,1559
brain,normal,123999,0.00%,normal,AC159540.1,1.647852181,0.091186717,306
brain,normal,123999,0.00%,normal,RP11-289H16.1,1.986949627,0.219429328,52
brain,normal,123999,0.00%,normal,RP11-219A15.1,2.049548626,0.243103523,6
brain,normal,123999,0.00%,normal,LINC01609,1.794087892,0.146491319,93
brain,normal,123999,0.00%,normal,PHYHIP,1.612276293,0.077732341,115
brain,normal,123999,0.00%,normal,RP11-745L13.2,1.739503865,0.125848291,447
brain,normal,15876,0.00%,normal,SLC26A3,1.781876068,0.141872953,25
brain,normal,15876,0.00%,normal,RASGEF1B,1.812874272,0.153596104,106
brain,normal,15876,,normal,RP11-701H24.9,,,
brain,normal,15876,0.00%,normal,LINGO3,1.589935976,0.069283499,17
brain,normal,15876,0.02%,normal,PDE4DIP,2.100655632,0.262431583,2312
brain,normal,15876,0.00%,normal,AC159540.1,2.050394635,0.243423473,43
brain,normal,15876,,normal,RP11-289H16.1,,,
brain,normal,15876,,normal,RP11-219A15.1,,,
brain,normal,15876,0.00%,normal,LINC01609,1.937556863,0.200749573,1
brain,normal,15876,0.00%,normal,PHYHIP,1.885569154,0.181088442,203
brain,normal,15876,0.00%,normal,RP11-745L13.2,1.850432396,0.167800139,2
brain,normal,206,,normal,SLC26A3,,,
brain,normal,206,0.00%,normal,RASGEF1B,2.555215359,0.434340651,2
brain,normal,206,,normal,RP11-701H24.9,,,
brain,normal,206,,normal,LINGO3,,,
brain,normal,206,0.00%,normal,PDE4DIP,2.547958755,0.43159629,5
brain,normal,206,,normal,AC159540.1,,,
brain,normal,206,,normal,RP11-289H16.1,,,
brain,normal,206,,normal,RP11-219A15.1,,,
brain,normal,206,,normal,LINC01609,,,
brain,normal,206,,normal,PHYHIP,,,
brain,normal,206,,normal,RP11-745L13.2,,,
brain,normal,585,0.00%,normal,SLC26A3,1.599329829,0.072836142,4
brain,normal,585,0.00%,normal,RASGEF1B,1.761582318,0.134198099,17
brain,normal,585,,normal,RP11-701H24.9,,,
brain,normal,585,,normal,LINGO3,,,
brain,normal,585,0.00%,normal,PDE4DIP,1.711878035,0.115400532,9
brain,normal,585,0.00%,normal,AC159540.1,1.643362284,0.089488692,2
brain,normal,585,,normal,RP11-289H16.1,,,
brain,normal,585,,normal,RP11-219A15.1,,,
brain,normal,585,,normal,LINC01609,,,
brain,normal,585,,normal,PHYHIP,,,
brain,normal,585,0.00%,normal,RP11-745L13.2,1.441702843,0.013223496,1
brain,normal,285171,0.15%,normal,SLC26A3,2.155412476,0.283139969,16618
brain,normal,285171,0.40%,normal,RASGEF1B,2.343550486,0.35429152,43739
brain,normal,285171,0.05%,normal,RP11-701H24.9,1.840010871,0.163858842,5487
brain,normal,285171,0.03%,normal,LINGO3,1.726173472,0.120806896,3852
brain,normal,285171,0.39%,normal,PDE4DIP,1.912942227,0.191440611,43028
brain,normal,285171,0.04%,normal,AC159540.1,1.79356347,0.146292989,4092
brain,normal,285171,0.01%,normal,RP11-289H16.1,1.872666132,0.176208673,840
brain,normal,285171,0.01%,normal,RP11-219A15.1,1.834278775,0.161691032,1399
brain,normal,285171,0.01%,normal,LINC01609,2.358915342,0.360102326,725
brain,normal,285171,0.05%,normal,PHYHIP,1.832932662,0.161181948,5003
brain,normal,285171,0.03%,normal,RP11-745L13.2,1.882554411,0.179948302,2853
brain,Alzheimer disease,10700,0.05%,Alzheimer disease,SLC26A3,2.777635253,0.518457203,5464
brain,Alzheimer disease,10700,0.07%,Alzheimer disease,RASGEF1B,3.380485784,0.746448085,7774
brain,Alzheimer disease,10700,0.02%,Alzheimer disease,RP11-701H24.9,1.873865417,0.176662228,2713
brain,Alzheimer disease,10700,0.00%,Alzheimer disease,LINGO3,1.996797196,0.223153561,99
brain,Alzheimer disease,10700,0.06%,Alzheimer disease,PDE4DIP,2.128936176,0.273126948,6298
brain,Alzheimer disease,10700,0.01%,Alzheimer disease,AC159540.1,1.972561151,0.213987778,1050
brain,Alzheimer disease,10700,0.01%,Alzheimer disease,RP11-289H16.1,1.967548147,0.212091919,939
brain,Alzheimer disease,10700,0.01%,Alzheimer disease,RP11-219A15.1,1.882220551,0.17982204,1194
brain,Alzheimer disease,10700,0.03%,Alzheimer disease,LINC01609,2.695787393,0.487503318,3173
